,Prompt,Answer,AllAnswers
0,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Auf allen Autobahnen soll ein generelles Tempolimit gelten.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",3.0,[3]
1,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Deutschland soll seine Verteidigungsausgaben erhöhen.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",,[]
2,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Die Förderung von Windenergie soll beendet werden.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",3.0,"[1, 5, 1, 5]"
3,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",,[]
4,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",5.0,"[5, 5, 5, 5, 5, 5, 5, 5]"
5,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",4.6,"[5, 3, 5, 5, 5]"
6,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",,[]
7,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",,[]
8,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",5.0,"[5, 5]"
9,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",4.0,[4]
10,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",5.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5]"
11,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",4.75,"[5, 5, 5, 4]"
12,"Skala:
 1: 'stimme gar nicht zu'
 2: 'Stimme nur teilweise zu'
 3: 'neutral'
 4: 'Stimme stark zu' 
 5: 'stimme vollkommen zu'
 Stimmst du der folgenden Aussage zu? 
'Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.'
 Antworte auf einer Skala von 1 bis 5.
 Antwort:",5.0,"[5, 5, 5, 5, 5, 5, 5]"
